Label String,Label Integer
EQUAL,0
EQUAL,0
EQUAL,0
EQUAL,0
EQUAL,0
EQUAL,0
EQUAL,0
EQUAL,0
EQUAL,0
EQUAL,0
EQUAL,0
EQUAL,0
EQUAL,0
EQUAL,0
EQUAL,0
EQUAL,0
EQUAL,0
EQUAL,0
EQUAL,0
EQUAL,0
EQUAL,0
EQUAL,0
EQUAL,0
EQUAL,0
EQUAL,0
EQUAL,0
EQUAL,0
EQUAL,0
EQUAL,0
EQUAL,0
EQUAL,0
EQUAL,0
EQUAL,0
EQUAL,0
EQUAL,0
EQUAL,0
EQUAL,0
EQUAL,0
EQUAL,0
EQUAL,0
EQUAL,0
EQUAL,0
EQUAL,0
EQUAL,0
EQUAL,0
EQUAL,0
EQUAL,0
EQUAL,0
EQUAL,0
EQUAL,0
EQUAL,0
EQUAL,0
EQUAL,0
EQUAL,0
EQUAL,0
EQUAL,0
EQUAL,0
EQUAL,0
EQUAL,0
EQUAL,0
EQUAL,0
EQUAL,0
EQUAL,0
EQUAL,0
EQUAL,0
EQUAL,0
EQUAL,0
EQUAL,0
EQUAL,0
EQUAL,0
EQUAL,0
EQUAL,0
EQUAL,0
EQUAL,0
EQUAL,0
EQUAL,0
EQUAL,0
EQUAL,0
EQUAL,0
EQUAL,0
EQUAL,0
EQUAL,0
EQUAL,0
EQUAL,0
EQUAL,0
EQUAL,0
EQUAL,0
EQUAL,0
EQUAL,0
EQUAL,0
EQUAL,0
EQUAL,0
EQUAL,0
EQUAL,0
EQUAL,0
EQUAL,0
EQUAL,0
EQUAL,0
EQUAL,0
EQUAL,0
EQUAL,0
EQUAL,0
EQUAL,0
EQUAL,0
EQUAL,0
EQUAL,0
EQUAL,0
EQUAL,0
EQUAL,0
EQUAL,0
EQUAL,0
EQUAL,0
MOSA,1
MOSA,1
MOSA,1
MOSA,1
MOSA,1
MOSA,1
MOSA,1
MOSA,1
MOSA,1
MOSA,1
MOSA,1
MOSA,1
MOSA,1
MOSA,1
MOSA,1
MOSA,1
MOSA,1
MOSA,1
MOSA,1
MOSA,1
MOSA,1
MOSA,1
MOSA,1
MOSA,1
MOSA,1
MOSA,1
MOSA,1
MOSA,1
MOSA,1
MOSA,1
RT,2
RT,2
RT,2
RT,2
RT,2
RT,2
RT,2
RT,2
RT,2
RT,2
RT,2
RT,2
RT,2
RT,2
RT,2
RT,2
RT,2
RT,2
RT,2
RT,2
RT,2
RT,2
RT,2
RT,2
RT,2
RT,2
RT,2
RT,2
RT,2
RT,2
RT,2
RT,2
RT,2
WSA,3
WSA,3
WSA,3
WSA,3
WSA,3
WSA,3
WSA,3
WSA,3
WSA,3
WSA,3
WSA,3
WSA,3
WSA,3
WSA,3
WSA,3
WSA,3
WSA,3
WSA,3
WSA,3
WSA,3
WSA,3
WSA,3
WSA,3
WSA,3
WSA,3
WSA,3
WSA,3
WSA,3
WSA,3
WSA,3
WSA,3
WSA,3
WSA,3
WSA,3
WSA,3
WSA,3
