Component,Defective
text/translate/NumericEntityEscaper,0
IllegalClassException,0
builder/EqualsBuilder,0
Validate,0
text/translate/EscapeLowAsciiAsUnicode,0
NumberUtils,0
concurrent/CallableBackgroundInitializer,0
math/Fraction,0
text/translate/LookupTranslator,0
text/FormatFactory,0
ObjectUtils,0
reflect/ConstructorUtils,0
enums/Enum,0
exception/NestableRuntimeException,0
math/JVMRandom,0
text/StrMatcher,0
builder/ToStringBuilder,0
CharSet,0
reflect/MethodUtils,0
WordUtils,0
exception/Nestable,0
CharEncoding,0
text/translate/UnicodeEscaper,0
time/DateUtils,0
math/IEEE754rUtils,0
text/StrTokenizer,0
reflect/FieldUtils,0
text/translate/CharSequenceTranslator,0
BitField,0
text/translate/CodePointTranslator,0
enum/ValuedEnum,0
mutable/MutableDouble,0
reflect/MemberUtils,0
text/translate/UnicodeUnescaper,0
concurrent/MultiBackgroundInitializer,0
mutable/MutableInt,0
concurrent/BackgroundInitializer,0
IncompleteArgumentException,0
LocaleUtils,0
exception/ExceptionContext,0
CharRange,0
StringEscapeUtils,0
math/RandomUtils,0
SerializationUtils,0
ClassUtils,2
builder/CompareToBuilder,0
BooleanUtils,0
mutable/Mutable,0
CharUtils,0
enum/Enum,0
exception/NestableError,0
text/CompositeFormat,0
exception/ContextedException,0
SystemUtils,0
math/Range,0
concurrent/LazyInitializer,0
text/ExtendedMessageFormat,0
text/translate/EscapeNonAsciiAsNumericEntity,0
builder/ToStringStyle,0
builder/ReflectionToStringBuilder,0
mutable/MutableLong,0
mutable/MutableFloat,0
math/NumberUtils,2
text/translate/EscapeNonAsciiAsUnicode,0
reflect/TypeUtils,0
math/IntRange,0
enums/EnumUtils,0
text/translate/EntityArrays,0
exception/NestableDelegate,0
EnumUtils,0
builder/IDKey,0
NotImplementedException,0
exception/NestableException,0
builder/StandardToStringStyle,0
mutable/MutableObject,0
time/DurationFormatUtils,0
IDKey,0
exception/ContextedRuntimeException,0
CharSetUtils,0
text/translate/AggregateTranslator,0
Entities,0
concurrent/ConcurrentUtils,0
text/translate/NumericEntityUnescaper,1
text/StrBuilder,0
mutable/MutableShort,0
text/translate/UnescapeUtils,0
math/DoubleRange,0
time/FastDateFormat,0
enum/EnumUtils,0
Range,0
time/StopWatch,0
IntHashMap,0
math/FloatRange,0
time/DateFormatUtils,0
UnhandledException,0
builder/HashCodeBuilder,0
NullArgumentException,0
text/StrSubstitutor,0
concurrent/ConcurrentException,0
StringUtils,2
text/StrLookup,0
RandomStringUtils,0
SerializationException,0
enums/ValuedEnum,0
mutable/MutableByte,0
exception/ExceptionUtils,0
NumberRange,0
mutable/MutableBoolean,0
math/LongRange,0
math/NumberRange,0
ArrayUtils,1
text/translate/EscapeUtils,0
exception/DefaultExceptionContext,0
