Component,Defective
IllegalClassException,0
builder/EqualsBuilder,0
Validate,0
NumberUtils,2
math/Fraction,0
ObjectUtils,0
enums/Enum,0
exception/NestableRuntimeException,0
math/JVMRandom,0
text/StrMatcher,0
builder/ToStringBuilder,0
CharSet,0
WordUtils,0
text/MappedMessageFormat,0
exception/Nestable,0
CharEncoding,0
time/DateUtils,0
text/StrTokenizer,0
BitField,0
enum/ValuedEnum,0
mutable/MutableDouble,0
text/VariableFormat,0
mutable/MutableInt,0
IncompleteArgumentException,0
LocaleUtils,1
CharRange,0
StringEscapeUtils,0
math/RandomUtils,0
SerializationUtils,0
ClassUtils,0
builder/CompareToBuilder,0
BooleanUtils,2
mutable/Mutable,0
CharUtils,0
enum/Enum,0
exception/NestableError,0
SystemUtils,0
math/Range,0
builder/ToStringStyle,0
builder/ReflectionToStringBuilder,0
Tokenizer,0
mutable/MutableLong,0
mutable/MutableFloat,0
math/NumberUtils,2
math/IntRange,0
enums/EnumUtils,0
exception/NestableDelegate,0
NotImplementedException,0
exception/NestableException,0
StringPrintWriter,0
builder/StandardToStringStyle,0
mutable/MutableObject,0
time/DurationFormatUtils,0
CharSetUtils,0
Entities,0
Interpolation,0
text/VariableFormatter,0
text/StrBuilder,1
mutable/MutableShort,0
math/DoubleRange,0
CharacterEncoding,0
time/FastDateFormat,0
enum/EnumUtils,0
time/StopWatch,0
IntHashMap,0
math/FloatRange,0
text/Interpolation,0
time/DateFormatUtils,0
UnhandledException,0
builder/HashCodeBuilder,0
NullArgumentException,0
StringUtils,2
RandomStringUtils,0
SerializationException,0
enums/ValuedEnum,0
mutable/MutableByte,0
exception/ExceptionUtils,0
NumberRange,0
mutable/MutableInteger,0
mutable/MutableBoolean,0
math/LongRange,0
math/NumberRange,0
ArrayUtils,0
mutable/MutableNumber,0
